"Date",	"Rm_minus_Rf","SMB","HML","WML","IML","Risk_Free"
26/08/2010	,-0.0120623586736767,0.0246656388707624,0.00361918265773512,0.0013787135197839,0.0173540861278432,0.000402034172980459
27/08/2010	,0.025265407925624,-0.00419232507972941,0.00733644312451948,-0.00742265822781811,-0.00221015745227546,0.000402392899773618
30/08/2010	,-0.0193011867634998,0.00664538246983799,-0.00571570759025916,0.00745729215700611,0.0042977149567814,0.000402392899773618
31/08/2010	,0.015240644617834,-0.00939153313568413,-0.00727370257043027,0.00672416938756091,-0.0115076576907485,0.000402034172980459
01/09/2010	,0.0252574424915465,-0.00954947497024719,0.0078052719366108,-0.00987721930352616,-0.0106661692461858,0.000402034172980459
02/09/2010	,-0.00522714073105485,0.0109229906249609,-0.00457326936079668,-0.00810467569085561,0.0057351687410717,0.000401316622518966
03/09/2010	,-0.000211405413464196,0.00580981068833671,-0.00657702452663605,0.00163841962893634,0.00644188258869349,0.000401316622518966
06/09/2010	,-0.000233294934286533,0.00153938441042262,-0.00316181361760574,-3.36331587993061e-05,0.00586515909775009,0.000401316622518966
08/09/2010	,-0.0060831825220062,-0.00237314247622153,-0.00391398331599501,-0.00695085540165133,-6.60725005309018e-05,0.000400598942851271
09/09/2010	,-0.000149696971145338,-0.00380232689933689,0.00132956447068299,0.00198262756039622,-0.00273076453310392,0.000400957798838641
10/09/2010	,0.00167854352465692,-0.00293729284498016,0.00123152504903774,0.00631482175246847,4.13740589367212e-05,0.000400957798838641
13/09/2010	,0.018221800445566,-0.0128403536378581,-0.00166462144724135,-0.00256600968633309,-0.0138190963235791,0.000400598942851271
14/09/2010	,-0.00383004871113896,-0.00163382834424355,0.0053360756212767,0.00243005955364892,7.4053814420601e-05,0.000400957798838641
15/09/2010	,0.00494502146734026,-0.0108279074744141,0.00488625176177404,0.00360199988754644,-0.00778545077440853,0.000400598942851271
16/09/2010	,-0.00579119636078762,0.00641505078678424,-0.00733949548641003,0.00384107077541769,0.00881254513590944,0.000400598942851271
17/09/2010	,-0.00775947931495906,0.010460304062976,0.00297816817071028,-0.00656263120051003,0.00819115879525832,0.000400957798838641
20/09/2010	,0.0141976754863342,0.00022248338952118,-0.00227613582925789,-1.76071956380485e-05,-0.00957584828182137,0.000400598942851271
21/09/2010	,-0.00856404501014839,0.00538978988032368,-0.00211718602082406,-0.00511243747391356,0.00664404022121986,0.000400598942851271
22/09/2010	,0.00504741169521342,-0.00576076294089651,-0.000590741762478075,-0.00448096324168505,-0.0123286259424935,0.000400957798838641
23/09/2010	,0.00769623520363076,0.00502444341334324,-0.00979634932194977,-0.00501330545208439,-0.00411895779527832,0.000400598942851271
24/09/2010	,-0.00661059454966355,0.0054726961722043,-0.00346406705132959,0.000577904498802526,0.00834714294258667,0.000400598942851271
27/09/2010	,0.00892788290474862,-0.00792942777953872,0.00405360989855931,0.00543629367088629,-0.00532428451728287,0.000400957798838641
28/09/2010	,0.00607300859949929,-0.00850362438161179,-0.00504336108109956,-0.00142432946134837,-0.00459337926895009,0.000400957798838641
